UserName,Title,Review,Date
daisukereds, Sort of disappointed..,"I got to admit I wasn't particularly blown away by anything in the movie.. I might even say ""I was bored"" by it.Don't get me wrong.. it IS a spectacle! The action is great. The locations are nice, costume design, sound design, etc. But it is overall a soft release not worth seeing in theaters.. specially as a follow-up to what Endgame was.The biggest problem for me, is how the underwritten lead has muddled personality (for reasons covered in the story) devoid of charm, personality or good dialogue.The next issue is the humor, which didn't land for me.. Not once. The supporting lead Awkwafina isn't her normal ""loud"" self that's supposed to be funny every time she opens her mouth. Her role is very supportive and a little dramatic. And while I questioned myself why was she even there for, it doesn't ultimately matter. She is another forgettable character that is given more importance than the role deserves.Finally, the third act is weak. There's a balancing problem with stakes. You can't feel tension or weight to any action. And there's a lot of superficial ""I can't do it"" until they can.In the end, this feels like a very safe plot, written in a way to appeal to china (considering how the Mandarin is portrayed), that ends up appealing to no one specific. Certainly doesn't feel like a Marvel movie.. but it was bound to happen if we are to be introduced to different aspects of the narrative. But it also doesn't feel like a comic book. It's more generic than that.",16 September 2021
educallejero, Questionable script (and Awkwafina is just the worst),"The characters are a bit incoherent and straight up contradict their own characterizations at times, because the plot needs them to do it. There are a bunch of unneeded ""deux-ex machina"" or conveniences because the writers trapped themselves into corners for no reason (that's what happens when you get the 2021 ""Mortal Kombat"", ""WW84"" and ""The Expendables"" writers).Also, we have Awkwafina destroying every type of scene (dramatic; epic; and also the comedic ones) with one of the worst ""acting"" I've ever seen and a same type of joke (""awkward nonsense"") over and over, from start to finish, with a role ridiculously large for a dumb comic relief.But... Liu is actually pretty good as a lead (and his character is potentially great), and the ""Shang-Chi world"" is beautiful and it has everything to be super fun to watch in the future...without Awkwafine and better writers.",14 September 2021
BA_Harrison," Crouching Tiger, Hidden Superhero.","Martial arts meets the MCU in Shang-Chi and the Legend of the Ten Rings. More Crouching Tiger than Jackie Chan, the plot for the film is kinda hum-drum, the sort of mystical Eastern fantasy cobblers that practically writes itself.Shang-Chi is the son of immortal, power-hungry warlord Xu Wenwu (Tony Chiu-Wai Leung) and Li (Fala Chen), a warrior woman from the hidden village of Ta Lo. After falling in love with Li and becoming a father, Wenwu gives up his wicked ways and packs away the ten legendary rings that gave him much of his power. However, after his wife is killed by his old enemies, Wenwu once again wears the rings and trains his son to become an assassin. Ashamed of what he has become, Shang-Chi goes into hiding in America and becomes Shaun (Simu Liu), but his past eventually catches up with him when his father sends his army, The Ten Rings, to steal the pendants given to him and his sister Xialing (Meng'er Zhang) by their mother. Wenwu requires both pendants to reveal the way to Ta Lo, where he believes that his wife is being held captive by her people.This Marvel movie is at its most fun before the plot starts to get in the way and the CGI becomes too overbearing and intrusive: the early fight scenes - a battle on a runaway bus against a henchman known as Razor Fist, and a fight on some high-rise bamboo scaffolding - deliver lots of impressively choreographed action that will please both martial arts fans and superhero addicts. Awkwafina, as Shang-Chi's loyal friend Katy, provides some comic relief, but also gets stuck in with the action.Unfortunately, the film quickly goes downhill after the good guys make their way to Ta Lo, with a little help from Tony Slattery (see Iron Man 3) and a furry winged creature with no face. The inevitable battle between the villagers and Wenwu's army is typical overblown Marvel mayhem, but the massive CGI tsunami arrives when Wenwu opens the inter-dimensional gate that he thinks is holding Li prisoner: instead of releasing his wife, he frees a swarm of flying tentacled soul-suckers and their big bad boss The Dweller. Fortunately for the Ta Lo people, they have a massive magical dragon on their side, which wakes up and adds to the digital whizz-bangery.As technically impressive as the special effects are, I found the second half of the film visually overwhelming yet remarkably uninvolving - a whirlwind of pixels and noisy action without much substance.5/10. It was nice to see HK/Chinese stars Michelle Yeoh, Tony Leung and Yuen Wah together in a Marvel movie; I just wish it had been a better one.",27 February 2022
topdog-64841, Surprisingly good,"I'll be honest - Marvel movies are not in my top 20 or even 50 but within the Marvel ""Universe"" I would say that Shang-Chi is in my top 5. I know, it's blasphemy and all that but think about it - is it better than Iron Man? I would admit yes - it's origin story is arguably better, and it's characters are a lot deeper. The Mandarin is a conflicted man, with evil but good as well, like real life. Is this movie better than The Avengers or Ragnarok or Infinity Wars? Hard to say, which means it's right up there with the best (of Marvel) in my opinion.Plus, I'm a sucker for Chinese movies with the Chinese language being spoken - 1 of my favourite of all times, if not my absolute favourite, is of course 'Hero.' The Chinese language and the artistry of it's culture are magnificent.All in all, well done Marvel, director Destin, and all those who worked to make this movie a reality. This is not just your average summer action movie; it's close to being a Masterpiece. And the humour is pretty swell too!Cheers.",28 November 2021
brookenichole-98054, Could've been great,"Shang-Chi is a boring film. The characters were okay, but the story was choppy and confusing. The song choices were odd. Plus, this movie was way too long. And the scene at the end had me practically falling asleep.",14 November 2021
Top_Dawg_Critic, This could've been great if it wasn't for the cheesy writing.,"The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.It's a shame, because the directing and cinematography were spot on, and great S/VFX - although a little overboard with the CGI i.e. Dragons. The martial arts choreography was outstanding (although again, overboard after the awesome bus scene), and the casting and performances were excellent, especially Leung, who pretty much carried the film on his shoulders. It's a 7/10 from me.",11 November 2021
justwen89," beautiful science fiction, fantasy and action movie!","Everything comes in it beautiful science fiction and beautiful mythical creatures. Sometimes you have creatures that don't seem real, but these just seemed real. Well done! There was a bit of avatar feeling in it. Fighting for the safekeeping of peace. Really beautiful. And self-acceptance was also nicely incorporated.",17 November 2021
Everymoviegetsa10, Shang Empty,"Sorry for the delay.Here we go...I'm not feeling this movie. It starts with promise but It lost me after Wong vs Abomb.The fighting is exciting. The movie lacks excitement though. It's a plain dull movie.It's about a Karate master and... yeah the movie lost me and I have know idea what it's about. This is the first mcu film that I lost interest for midway. Even Im3 wasn't so bad because I lost interest from the very beginning.Gotg2, mcu Spiderman 1/2 and IM3 are still the worse in mcu. Shang Chi just joined the club.A movie so full of emptiness that it makes an empty box jealousI'm not sure how this is a 7. Fans and the average movie goer should also be held responsible for horrible movies.This movie ain't a 7 even if you watched this movie as blind and drunk.They tried to be funny by having Wong be rude by drinking the couple's drink at the end credit scene. That wasn't funny at all. Wizard or not.Speaking of funny, I didn't laugh once. When I used to watch these movies in theatres, the audience often told me when I should have laughed. I watched it at home, therefore I didn't know my cue of when to laugh.The mcu needs to chill with the daddy issue plotTHOR Loki daddy issue
Black Panta daddy issues
Stark Daddy issues
Star lord Daddy issues
Ultron daddy issues
Nebula and Gamora daddy issues
Shang daddy issue
Wasp daddy issues
Scott langs daughter Daddy issuesNo one has mommy issues.Don't watch this movie.",20 November 2021
MackMonMay87, A Ringer for a Great MCU Flick,"Shang-Chi is one of Marvel Comic's most unknown and underutilized characters in their comics, with his original comics containing a decent amount of racist imagery and embarrassing caricatures of various Asian stereotypes. At it's best, the MCU can turn any obscure group or concept from the comics into gold, and Shang-Chi is no different.Shang-Chi might be one of the best examples of an idea that's actually better on film than the original source material, with the character's relationships, motivations, and place in the overall Marvel Universe all being improved upon in the film adaptation as opposed to the comics where he's mainly a hand-to-hand expert with no powers or special weapons, and isn't generally of much value to The Avengers.Simu Liu is charismatic and athletically gifted enough to do solid justice to the lead role. I hope the sequel gives him even more to do with his character and his legacy, but for an introduction, this was great. Awkwafina, Michelle Yeoh, and of course the legendary Tony Leung all lend their talents to a great cast of characters.Wen Wu is easily one of the top villain/antagonist characters in the MCU and probably all of comic book films. He's intimidating and masterful as a ruler, but heartfelt and believable as a family man. His presence elevates the entire production as he's a legend of cinema.There's moments reminiscent of Black Panther, and the third act gets heavy into Chinese mythological imagery, but understand that this is not only meant as a superhero movie, but also a love-letter to Chinese storytelling and culture.Shang-Chi features some of the best physical/non-super powered fight scenes in the MCU, with the choreography and the cinematography of said action taking a higher level. As soon as I saw the bus fight scene in the opening I had no worries about this part of the movie.The Ten Rings themselves are not a weapon used in the comics, and are a wonderfully creative, versatile, and visually stunning weapon unlike anything I've ever seen before, and that's not an easy thing to say having seen as much comic book and sci-fi material as me.Some of the pacing and character development could be a little better, but overall Shang-Chi is on the higher end of Marvel movies, and can also be solidly enjoyed by audiences totally unfamiliar with Marvel in general.",26 November 2021
sanjithkumar1995, Good action movie with all the MCU flavours,"Movie has a lot of stuff to keep you hooked.1. VFX. Whole movie is visually stunning
2. Stunt choreography is awesome. Probably the best in MCU so far imo.3. Background score. I felt goosebumps everytime the main theme kicks in. Soundtrack is good too.4. Decent acting except the one who played Shang chi's father who had a menacing screen presenceDespite of the perfectly blended Chinese culture and the MCU's successful (so far) action formula, this movie isn't free from cliche moments. I just wished the second half was less predictable and had something more to offer.",22 November 2021
