id,Description,Sentiment,
0,Purchased this product advertised as fully unlocked. Inserted my sim card and it did not work. Contacted my service provider and they checked my IMEI number and it reported that the phone was still locked by the original carrier. Phone came in good condition just couldn't use any service provider.,Negative,
1,I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,Positive,
2,Phone was not unlocked could it use it,Negative,
3,The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,Negative,
4,Be careful mine had a scratch on screen very small but still their Used. People dont want used I phones with scratches,Negative,
5,"This is the best experience I have ever had with buying a renewed phone. The phone came in it�s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",Positive,
6,"I fought it for the longest time but I finally gave in and upgraded to the iPhone 11 from the iPhone 7. I looked other places online, but the price was way out of my price point. I felt comfortable buying this phone from Amazon because it was certified refurbished and I�m still happy that I did.",Positive,
7,The box didn�t come with ear phones. The phone kept turning off by itself after set up. Some apps had to be deleted before they�d quit shutting off on their own.,Neutral,
8," I just wanna tell everybody this is NOT A SCAM!!!! This phone is so amazing, great battery life, Face ID everything. Unfortunately mine didn�t come in an iPhone box but I was too much worried about that but it did come w/ a charger . Please get this phone don�t let any of these reviews scare you! I will be doing a month review on this phone for more updates. Brand new and unlocked I�m paired with cricket so everything transferred over so easily!",Positive,
9,"Working well so far, looks new.",Positive,
10,"My iPhone came with a big scuff on the corner (aluminum frame) and a small (not really noticible) scratch on the front and back of the phone. I got the 64 gb product red unlocked iPhone 11 which was, I believe a Verizon unlocked phone. My phone came in the iPhone 11 apple box with a original apple charger and original apple brick. When I set up my phone I just put in my T-Mobile sim and the phone started working with my data. I did not need to get it activated or anything.",Positive,
11,"My phone re start over and over again, that's so sad because the i phone looks like new",Negative,
12,"I received my phone a day early and it came exactly as I imagined. I was a little nervous buying a refurbished phone on the internet, but I truly have no complaints. The phone came in perfect, like new condition and has been working great with my carrier and in general. Came with a charger and charging block as mentioned in the description. It also came with a screen protector that was already put on the screen! That was an awesome and much appreciated touch. There�s also 60 day warranty and free returns just in case something were to happen. I�m incredibly pleased. Would definitely recommend to anyone!",Positive,
13,"Very disappointed with this purchase: Was same price as a brand new Apple I-Phone. This phone had 2 deep scratches on screen, did not come with earphones, was not an Apple charging cord, (although it had a sticker saying it was), was not an Apple charger. Also was never able to install I cloud.",Negative,
14,"been using iphones for a a long time. i needed a new one & saw this online for a good price. i dont have any complaints it works great. camera quality is amazing. it came with a charger, but *did not come with headphones* and it did not come in the classic �iPhone� packaging which didnt bug me but other people might care. i definitely recommend but if you want the headphones id buy them separately.",Positive,
15,"Amazon renewed phone. Was expecting minor cosmetic issue as described, however there was a decent size mark above the volume down button and the volume down button does not function properly. Contacted amazon and the seller and have not gotten this resolved.",Negative,
16,Don�t trust the refurbished phone from Tech Exchange!! The ear speaker on this phone does not work. I can turn the phone on speaker phone and make a phone call but when you try and take it off speakerphone all you hear is garbled voices and a lot of static. You can understand about every 10th word. Then today when trying to make a phone call with the speakerphone every time I pushed one of the numbers to dial in the number from the pack and made a really loud high-pitched tone. When I hit the side button to try and shut the sound off the screen went black and it still was making this weird high-pitched sound that ended up stopping after about 30-45 seconds very annoying. I finally had to shut the phone completely off and turn it back on at which point I was able to make a call on speakerphone. I�ve never had problems like this with a refurbished phone! After doing a chat with Amazon they told me I had to handle it with the seller who is supposed to be calling me to provide me with a prepaid label to return it and to discuss a replacement phone. The return policy says I have to return the phone to them and then they have two weeks to give me a refund on my money so that it will be another two weeks before a order a different phone. I just want to say that after I finally received a call from them my refund was processed very promptly.,Negative,
17,I haven�t had the phone for 2 weeks and now the power button isn�t working and now the seller isn�t responding !!!,Negative,
18,"IPhone was shipped in two-day delivery. The box inside of a FedEx bag came opened but the FedEx bag itself was untouched, so I presume it was not completely closed before sealing the bag. The phone came with no scratch or sign of usage at all, a screen protector (nice touch) and generic certified usb cable and charger. No earphones as described. Battery life is 100%. So far it looks and works good. Im only a little concerned that it gets quite hot in the back. Im only doing the math and believe $639.99 is still a high price for a refurbished. If you want replace the generic stuff by purchasing an original charger + cable + earpods + connector, the total price will go beyond a brand new phone.",Positive,
19,Great product. Looks and works exactly like new,Positive,
20,"""Fully unlocked and compatible with any carrier of choice"" is is a false statement in their add for Amazon. When I received the phone there was a paper inside the box saying not compatible with Sprint or Boost Mobile. I happen to use one of those carriers, and rather then erasing all my info that I already had transferred from my old phone to the new phone and mailing the phone back I chose to switch carriers which was an additional pain. So BuySPRY won in the end but I will never purchase from them again.",Negative,
21,"I purchased this iPhone 11 because it said it was unlocked. I have always owned unlocked iphones and never had troubles with them. I live in Guatemala. This iPhone 11 was working for a few days but all of the sudden ""stopped"" recognizing my SIM card. As you can see in the video the issue is not my SIM card because it works in my old and unlocked iPhone 8. Since I am not in the USA I lost almost $600. Beware, don't buy this product. It is a complete scam.",Negative,
22,Excelente tel�fono y muy buena la c�mara lo recomiendo 100%,Positive,
23,My son loved this phone. We had no problems setting anything up. Worked perfect. In brand new apple box as well,Positive,
24,I just received this phone on Friday(3 days earlier than expected)and it is absolutely lovely. It came in a generic box with an apple compatible charger and cable. No scratches or imperfections that I can see at this time . The battery capacity is 100%. It looks and works like a brand new device.,Positive,
25,"Every things right, battery came with %100 capacity, and it arrived 4 days early through FedEx, i got the color and device storage I ordered. Theres a few scratches on the bare screen which prove its used, (i peeled the screen protector it came with off so i could put my tempered glass one on) but theyre invisible when a screen protector is on. Phone is lighting fast and im just so happy! I had some doubts when buying this phone because there weren't enough reviews on it and it was used. But its entirely like new, although you dont get the unboxing experience of buying it brand new, and earbuds arent included. Im happy i got a discount and that i didnt buy a new one and just have this one sit around and get scrapped for parts or something. I honestly dropped $690 bucks on this thing and i was gonna go ballistic if it didnt show up, but it came early and im so relieved and happy with it, its absolutely beautiful. Also the battery life on this for an iphone is great, i came from a 2016 SE, so a big change.",Positive,
26,"I shopped around a lot for a renewed, refurbished iPhone 11. This was not the cheapest but really close. The selling point for me is that it comes with a 90 day warranty and refund policy and is sold through Amazon Prime. We received the phone 4 days ago. Upgraded and transferred everything from the iPhone 7 to the 11 flawlessly. Plus, the phone had no cosmetic issues at all. It looks brand new. We have bought a refurbished iPhone 7 and now this 11. Both worked perfectly.",Positive,
27,The phone comes in the original iPhone box which was a nice bonus and difference between other companies that send unlocked iPhones in normal cardboard boxes and it works perfectly,Positive,
28,"Work totally fine so far, I�m satisfied with the functionality. But It didn�t come with earphones.",Positive,
29,"As far as buying this product from this specific seller, my experience has been great! Nothing to complain about. There were no scratches in the glass display, not to mention there weren�t any on the back glass or camera lenses either. But as far as the phone itself, I�m an android person but my first smartphone happened to be an iPhone and I had gone through a couple generations of them. I�m pleased to say that this device feels great but, it�s still an iPhone and to that, I mustn�t give a full 5 star review. Android gang.",Positive,
30,"This is not a scam!! I repeat this is not a scam! I love iPhones, I always want a nice good working phone that I know won�t take a dump in me because me being a single mom I need to beable to keep in touch with school and grandpa so if anything happens I�m aware right away! I love this phone! No scratches no dings! It�s like brand new!!! It looks new! And works like new!!! Comes with a screen protector! I am in love!!! The battery capacity is 100%! And it�s a killer deal for the price of this kind of phone!! It�s well worth it and it came in two days with my Amazon prime earlier than it said it would! You will be happy! I highly recommend!",Positive,
31,Bought refurbished I�m assuming only open box as the item seemed 100%brand new would recommend the seller,Positive,
32,It's ok,Positive,
33,"This phone is great! (Please excuse the somewhat blurry pics, I have shaky hands) The battery health was already at 100% and its has barely any cosmetic damage. Save for a super tiny little nick at the top which is barely noticeable unless I shine a camera directly at the area. Also, the phone came preinstalled with a screen protector! I guess its a bit of a minus that it doesnt come with headphones, but I already have airpods, so that doesn�t bother me. It�s something to keep in mind when you purchase anything from Amazon Renewed. The phone came in four days early too which is dope.",Positive,
34,So pleased. The phone came with a screen protector on it already even! And we�ll placed! No scuffs. Phone is seriously like brand new. Battery is 99%. I was skeptical after a bunch of 1 star reviews but figured I would try it because there is a 90 day guarantee and return. Don�t feel scared about this deal. Try it out. You will be pleased. I got the black 256gb unlocked iPhone 11 just FYI.,Positive,
35,"I have never bought a used phone before and I've never bought one online. I always went through my carrier. However, this time I was ready to save some money and get an unlocked phone. I was a little nervous but I did some research and then took a risk since I had time to return it for a full refund if it didn't work out. The phone came in perfect condition and works like new. To me, I can't tell the difference between this phone and a brand new one! I've been using it for about 4 days and I've had no issues! Definitely worth the risk.",Positive,
36,Great phones... I initially bought one for my daughter and ended up ordering one for myself,Positive,
37,"Well I got the iPhone 11 yesterday and it currently right now will shut off every 5-10 mins , I have tried multiple times to contact the carrier and they haven�t emailed me back or nothing which I spent 700$ on a phone I�d like to get atleast a phone I can have a conversation on .. I don�t even want my money back I just want my phone fixed because it�s honestly a great phone but I think you should get a better technician that works on your phones cause I even called Apple to see what they recommend I do (that�s what they said ab the technician ) but I�m just disappointed I was so excited now I just feel ripped off ):",Negative,
38,I can�t send messages to anyone who doesn�t have an iPhone. The power button doesn�t work correctly and often times Siri doesn�t respond. The only way to get the issue corrected is to be without a phone until the seller sends me a new one. I�d never buy again or from this company.,Negative,
39,"For the most part everything is okay
Different parts of the screen won�t work during certain times. So I have to lock and unlock my phone constantly Nd hope it will work after While writing this review I can�t even hit the bottom right corner to add punctuation unless it comes up from autocorrect When I contacted the company they told me to hard reset it and it should work after. That worked for less than a day and I don�t want to have to hard reset my phone every other day for it to work when I spent seven hundred dollars. Can�t even use numerical characters. Update I reached out to them again saying their advice didn�t work and haven�t received a response and it�s been a week",Negative,
40,"This was an amazing buy from Kiss Electronics. No issues with phone operation so far, only just received & setup. Was packaged nicely & came with an adapter and a charging cable (no headset). Iphone product Red body was in good condition. Small scratches on upper corner . Very very happy with purchase",Positive,
41,Works great.,Positive,
42,I am absolutely happy with my purchase! I�ve gone through the reviews and was ready to order right after. The only thing is my battery health was at 84% as I seen others with 100% which is fine by me. It�s nothing to go get a new battery when and if that time comes. As you see in the pictures the phone is in great condition annnndddd it�s unlocked so you can use any phone service for it. I�m digging the picture quality especially after upgrading from the iPhone X to this. What a difference a upgraded phone makes! It came with a cute case plus a charger. If you�re looking into this phone I�d say go for it. I�m on day 1 and I�m excited!!! (UPDATE! April 18th) I�m 1 month in with the phone and it�s still working great no issues at all.,Positive,
43,"A BIG thank you for selling iPhones on Amazon! I wanted this phone so bad and couldn�t get my hands on it anywhere unlocked. I am so glad I could buy in through Amazon, This is how we get everything so we knew it was reliable. The phone did not come in an apple iPhone box, but a box just the same with a charger no headphones. But I could care less because all I wanted was the phone. Works great, you wouldn�t even know the difference. I have since told friends and family to do the same when looking for a new phone. Plus it was much cheaper then I found it anywhere else. Very pleased that I got exactly what I wanted for an amazing deal!",Positive,
44,"After only 3.5 months the phone is completely dead and will not charge. Took to Apple store and was told it would have to be replaced. WTH! Ordered and received early October 2020. Started having charging issues last week and now it is completely dead. And wouldn't you know it is past the return date by a mere 12 days. Come on Amazon, you sold me this product you need to stand behind it or at least replace or refund something that lasts only days longer than the return window. BS!",Negative,
45,"No scratches or damage on the screen, or, for that matter, any part of the phone! SO happy I took the plunge and bought the phone, it has been well worth it so far!
-no scratches or dents anywhere
-battery capacity 100%
-unlocked & everything as advertised",Positive,
46,"Apple iPhone 11, 64GB, Red - Fully Unlocked (Renewed) arrived in only two days nicely packaged and looks brand new! Only one, barely noticeable scratch on the screen and a very tiny scratch on the side that you can notice if you hold it really close to your face. Overall I'm very satisfied. I've had the phone for 24 hours now, works really well and fast and battery is still going since I charged it yesterday, it's at currently at 29%. If any unusual changes occur in the near future I'll update my review but I doubt it since the phone is in near perfect condition",Positive,
47,"My sister is absolutely in love with this phone she was so surprised when I gave it to her, very fast shipping packaging was great.",Positive,
48,camera came slightly scratched but overall a good purchase,Positive,
49,"It�s a refurbished phone I don�t mind that it didn�t come in an original box, the phone itself is in very very good shape, I was so skeptical about buying this phone from amazon since it�s my first time buying a phone online but it is in very good condition! No cracks no scratches ! Looks brand new !! Seems to be working fine for now hopefully it stays that way I just need to see if it�ll work with my carrier, it came with a screen protector which was a nice touch :) really happy with the product. UPDATE!!!! After a Month or two of having it, it still works really great! Batter life is long and it charges super fast. Highly recommend",Positive,
